,characteristics_bedrooms,characteristics_bathrooms,characteristics_garages,characteristics_area,location_lat,location_lng,price,neighborhood_name,district_name,extras_Terreno,price_per_m2,built_area_ratio,district_avg_price,neighborhood_avg_price
175,5,5,2,400.0,-17.712418,-63.167007,170000.0,Barrio Santa Isabel.,Distrito 5,315.0,425.0,1.2698412698412698,254362.07609756096,254362.07609756096
182,5,6,2,633.0,-17.742903,-63.166191,460000.0,Barrio Santa Isabel.,Distrito 5,300.0,726.698262243286,2.11,254362.07609756096,254362.07609756096
185,5,4,2,420.0,-17.778105,-63.209949,345300.0,Barrio Santa Rosa,Distrito Municipal 1,360.0,822.1428571428571,1.1666666666666667,326457.26420000003,238606.4857142857
188,3,3,2,285.0,-17.72086,-63.157726,305000.0,Barrio Santa Isabel.,Distrito 5,230.0,1070.1754385964912,1.2391304347826086,254362.07609756096,254362.07609756096
190,4,2,2,217.0,-17.846247,-63.159775,100000.0,Barrio Casa Nova II,Distrito 12,360.0,460.8294930875576,0.6027777777777777,122547.48625,95797.41500000001
192,4,2,4,285.0,-17.727278,-63.175476,150000.0,Barrio Santa Isabel.,Distrito 5,400.0,526.3157894736842,0.7125,254362.07609756096,254362.07609756096
203,4,4,2,340.0,-17.743801,-63.169903,165000.0,Barrio Santa Isabel.,Distrito 5,245.0,485.29411764705884,1.3877551020408163,254362.07609756096,254362.07609756096
204,5,5,5,353.0,-17.763292,-63.20298,350000.0,Barrio el Manchon,Distrito Municipal 1,350.0,991.5014164305949,1.0085714285714287,326457.26420000003,348191.09192307695
206,4,7,4,470.0,-17.731152,-63.171944,380000.0,Barrio Santa Isabel.,Distrito 5,380.0,808.5106382978723,1.236842105263158,254362.07609756096,254362.07609756096
210,3,4,3,452.0,-17.79253,-63.16906,198000.0,Barrio Lindo,Distrito 11,400.0,438.05309734513276,1.13,301114.7905882353,289717.63363636367
213,4,5,4,300.0,-17.71513,-63.159481,375000.0,Barrio Santa Isabel.,Distrito 5,464.0,1250.0,0.646551724137931,254362.07609756096,254362.07609756096
222,6,3,2,290.0,-17.786379,-63.202091,280000.0,Barrio Santa Rosa,Distrito Municipal 1,330.0,965.5172413793103,0.8787878787878788,326457.26420000003,238606.4857142857
223,3,3,3,421.0,-17.708723,-63.168297,170000.0,Barrio Santa Isabel.,Distrito 5,421.0,403.80047505938245,1.0,254362.07609756096,254362.07609756096
224,4,2,0,202.0,-17.784061,-63.172977,249000.0,Barrio Lindo,Distrito 11,307.0,1232.6732673267327,0.6579804560260586,301114.7905882353,289717.63363636367
226,3,4,2,234.0,-17.722637,-63.167675,320000.0,Barrio Santa Isabel.,Distrito 5,325.0,1367.5213675213674,0.72,254362.07609756096,254362.07609756096
227,3,4,2,282.0,-17.799746,-63.197662,350000.0,BARRIO URBARI,Distrito Municipal 4Â ,288.0,1241.1347517730496,0.9791666666666666,302332.25692307693,320495.3111764706
233,4,4,2,260.0,-17.77277,-63.201511,360000.0,BARRIO EQUIPETROL,Distrito Municipal 1,208.0,1384.6153846153845,1.25,326457.26420000003,335141.1233333333
235,3,3,2,304.38,-17.722162,-63.152637,110000.0,Barrio Santa Isabel.,Distrito 5,240.0,361.39036730402785,1.2682499999999999,254362.07609756096,254362.07609756096
237,5,5,4,624.0,-17.817238,-63.215042,470000.0,Barrio California,Distrito 10,622.0,753.2051282051282,1.0032154340836013,206384.339375,317500.0
242,3,3,2,208.0,-17.770006,-63.102448,100000.0,Barrio las Pampita,Distrito 6,489.0,480.7692307692308,0.42535787321063395,116304.09782608696,126611.11111111111
244,8,5,2,476.0,-17.785675,-63.173374,528000.0,Barrio Lindo,Distrito 11,392.0,1109.2436974789916,1.2142857142857142,301114.7905882353,289717.63363636367
245,4,4,3,270.0,-17.798571,-63.220657,244000.0,Barrio Irma Suarez,Distrito Municipal 1,315.0,903.7037037037037,0.8571428571428571,326457.26420000003,322922.41375
247,4,6,3,337.0,-17.716354,-63.149437,265000.0,Barrio Santa Isabel.,Distrito 5,248.0,786.3501483679526,1.3588709677419355,254362.07609756096,254362.07609756096
253,5,3,0,268.0,-17.784372,-63.175274,198000.0,Barrio Lindo,Distrito 11,220.0,738.8059701492538,1.2181818181818183,301114.7905882353,289717.63363636367
254,4,6,2,473.0,-17.748318,-63.175312,585000.0,Barrio el Manchon,Distrito Municipal 1,486.0,1236.7864693446088,0.9732510288065843,326457.26420000003,348191.09192307695
255,3,3,2,210.0,-17.689646,-63.147957,135000.0,Barrio Santa Isabel.,Distrito 5,206.0,642.8571428571429,1.0194174757281553,254362.07609756096,254362.07609756096
257,3,3,2,205.0,-17.707022,-63.163662,138000.0,Barrio Santa Isabel.,Distrito 5,360.0,673.170731707317,0.5694444444444444,254362.07609756096,254362.07609756096
258,4,4,2,204.0,-17.7138,-63.172226,240000.0,Barrio Santa Isabel.,Distrito 5,204.0,1176.4705882352941,1.0,254362.07609756096,254362.07609756096
260,5,5,2,398.0,-17.710201,-63.16922,170000.0,Barrio Santa Isabel.,Distrito 5,315.0,427.1356783919598,1.2634920634920634,254362.07609756096,254362.07609756096
264,4,5,3,410.0,-17.703669,-63.152931,355000.0,Barrio Santa Isabel.,Distrito 5,450.0,865.8536585365854,0.9111111111111111,254362.07609756096,254362.07609756096
265,3,4,2,300.0,-17.716089,-63.168228,239500.0,Barrio Santa Isabel.,Distrito 5,300.0,798.3333333333334,1.0,254362.07609756096,254362.07609756096
266,4,4,2,288.0,-17.735065,-63.165272,280000.0,Barrio Santa Isabel.,Distrito 5,377.0,972.2222222222222,0.7639257294429708,254362.07609756096,254362.07609756096
278,6,6,2,467.0,-17.776964,-63.167072,360000.0,Barrio Lindo,Distrito 11,838.0,770.8779443254818,0.5572792362768496,301114.7905882353,289717.63363636367
283,4,4,2,323.0,-17.714401,-63.165092,265000.0,Barrio Santa Isabel.,Distrito 5,456.0,820.4334365325077,0.7083333333333334,254362.07609756096,254362.07609756096
288,3,3,3,303.0,-17.740461,-63.16304,390000.0,Barrio Santa Isabel.,Distrito 5,359.0,1287.1287128712872,0.8440111420612814,254362.07609756096,254362.07609756096
289,3,3,2,222.0,-17.722771,-63.167503,325000.0,Barrio Santa Isabel.,Distrito 5,205.0,1463.963963963964,1.0829268292682928,254362.07609756096,254362.07609756096
294,5,6,3,400.0,-17.817247,-63.210716,255000.0,Barrio Flamingo,Distrito 10,556.0,637.5,0.7194244604316546,206384.339375,196250.0
295,3,3,2,255.0,-17.768335,-63.204365,240000.0,BARRIO EQUIPETROL,Distrito Municipal 1,255.0,941.1764705882352,1.0,326457.26420000003,335141.1233333333
299,4,6,3,457.0,-17.761988,-63.177395,360000.0,Barrio Chino,Distrito 2,762.0,787.746170678337,0.5997375328083989,262300.65133333334,262300.65133333334
309,4,6,3,479.0,-17.803791,-63.169197,498000.0,Barrio Polanco,Distrito Municipal 3,537.0,1039.6659707724425,0.8919925512104283,242325.77823529413,273653.823
319,8,3,2,325.0,-17.737192,-63.161045,350000.0,Barrio Santa Isabel.,Distrito 5,250.0,1076.923076923077,1.3,254362.07609756096,254362.07609756096
320,3,4,1,208.0,-17.72102,-63.181274,125000.0,Barrio Santa Isabel.,Distrito 5,208.0,600.9615384615385,1.0,254362.07609756096,254362.07609756096
321,4,4,3,265.0,-17.700665,-63.163105,279600.0,Barrio Santa Isabel.,Distrito 5,225.0,1055.0943396226414,1.1777777777777778,254362.07609756096,254362.07609756096
324,4,5,2,409.0,-17.762482,-63.19981,550000.0,Barrio el Manchon,Distrito Municipal 1,562.0,1344.7432762836186,0.7277580071174378,326457.26420000003,348191.09192307695
326,1,2,0,531.0,-17.746132,-63.188206,280000.0,Barrio el Manchon,Distrito Municipal 1,363.0,527.3069679849341,1.462809917355372,326457.26420000003,348191.09192307695
328,3,5,2,273.0,-17.804737,-63.156387,180000.0,Barrio Polanco,Distrito Municipal 3,273.0,659.3406593406594,1.0,242325.77823529413,273653.823
329,3,2,2,202.0,-17.769354,-63.152794,150000.0,Barrio Chino,Distrito 2,202.0,742.5742574257425,1.0,262300.65133333334,262300.65133333334
331,3,3,2,220.0,-17.707268,-63.188038,180000.0,Barrio Santa Isabel.,Distrito 5,220.0,818.1818181818181,1.0,254362.07609756096,254362.07609756096
337,3,3,2,234.0,-17.703529,-63.184319,179000.0,Barrio Santa Isabel.,Distrito 5,360.0,764.957264957265,0.65,254362.07609756096,254362.07609756096
348,6,5,2,303.0,-17.725704,-63.152985,185000.0,Barrio Santa Isabel.,Distrito 5,422.0,610.5610561056105,0.7180094786729858,254362.07609756096,254362.07609756096
351,4,4,2,357.0,-17.731428,-63.081486,78000.0,Barrio San Jorge,Distrito 6,438.0,218.48739495798318,0.815068493150685,116304.09782608696,79155.1725
354,3,2,1,251.0,-17.781723,-63.163685,190000.0,Barrio Chino,Distrito 2,251.0,756.9721115537849,1.0,262300.65133333334,262300.65133333334
357,4,5,3,220.0,-17.697117,-63.180988,135000.0,Barrio Santa Isabel.,Distrito 5,220.0,613.6363636363636,1.0,254362.07609756096,254362.07609756096
360,4,2,0,451.0,-17.77976,-63.173794,400000.0,Barrio Lindo,Distrito 11,504.0,886.9179600886918,0.8948412698412699,301114.7905882353,289717.63363636367
364,3,4,2,248.0,-17.757332,-63.175961,198500.0,Barrio Chino,Distrito 2,248.0,800.4032258064516,1.0,262300.65133333334,262300.65133333334
367,5,4,2,220.0,-17.838638,-63.178757,190000.0,Barrio Transportista,Distrito 9Â ,290.0,863.6363636363636,0.7586206896551724,181665.38944444444,185000.0
369,5,2,2,375.0,-17.794716,-63.185081,270000.0,Barrio Fé y Alegrí­a,Distrito 11,337.0,720.0,1.1127596439169138,301114.7905882353,261130.2683333333
371,4,3,2,205.0,-17.786362,-63.20911,172000.0,Barrio Santa Rosa,Distrito Municipal 1,205.0,839.0243902439024,1.0,326457.26420000003,238606.4857142857
376,4,4,2,226.0,-17.794195,-63.199871,240000.0,BARRIO URBARI,Distrito Municipal 4Â ,375.0,1061.9469026548672,0.6026666666666667,302332.25692307693,320495.3111764706
377,5,3,2,229.0,-17.838684,-63.174095,140000.0,Barrio Transportista,Distrito 9Â ,375.0,611.353711790393,0.6106666666666667,181665.38944444444,185000.0
381,3,4,3,292.0,-17.73493,-63.165283,285000.0,Barrio Santa Isabel.,Distrito 5,292.0,976.027397260274,1.0,254362.07609756096,254362.07609756096
382,3,2,0,217.0,-17.778902,-63.196796,165000.0,BARRIO EQUIPETROL,Distrito Municipal 1,217.0,760.36866359447,1.0,326457.26420000003,335141.1233333333
383,4,3,4,350.0,-17.801174,-63.225903,570000.0,Barrio Irma Suarez,Distrito Municipal 1,650.0,1628.5714285714287,0.5384615384615384,326457.26420000003,322922.41375
384,4,5,2,205.0,-17.791201,-63.09045,117000.0,Barrio El Condado,Distrito 7,225.0,570.7317073170732,0.9111111111111111,132567.88874999998,123519.541
386,7,2,1,431.0,-17.754492,-63.17173,200000.0,Barrio Chino,Distrito 2,258.0,464.0371229698376,1.6705426356589148,262300.65133333334,262300.65133333334
387,3,3,2,220.0,-17.708246,-63.190269,180000.0,Barrio Santa Isabel.,Distrito 5,220.0,818.1818181818181,1.0,254362.07609756096,254362.07609756096
389,3,4,4,300.0,-17.751055,-63.163387,255000.0,Barrio Santa Isabel.,Distrito 5,300.0,850.0,1.0,254362.07609756096,254362.07609756096
392,4,4,3,208.0,-17.711599,-63.167698,144000.0,Barrio Santa Isabel.,Distrito 5,208.0,692.3076923076923,1.0,254362.07609756096,254362.07609756096
395,4,5,3,240.0,-17.765076,-63.186111,229000.0,BARRIO EQUIPETROL,Distrito Municipal 1,240.0,954.1666666666666,1.0,326457.26420000003,335141.1233333333
398,3,3,2,269.0,-17.755798,-63.169109,285900.0,Barrio Chino,Distrito 2,269.0,1062.825278810409,1.0,262300.65133333334,262300.65133333334
399,3,5,4,355.0,-17.714525,-63.159184,420000.0,Barrio Santa Isabel.,Distrito 5,355.0,1183.0985915492959,1.0,254362.07609756096,254362.07609756096
400,5,7,3,617.0,-17.71806,-63.163563,485000.0,Barrio Santa Isabel.,Distrito 5,617.0,786.061588330632,1.0,254362.07609756096,254362.07609756096
401,4,4,3,464.0,-17.695002,-63.162632,475000.0,Barrio Santa Isabel.,Distrito 5,498.0,1023.7068965517242,0.9317269076305221,254362.07609756096,254362.07609756096
402,4,3,3,350.0,-17.754765,-63.193695,310000.0,Barrio el Manchon,Distrito Municipal 1,350.0,885.7142857142857,1.0,326457.26420000003,348191.09192307695
406,4,4,2,264.0,-17.702583,-63.189747,208000.0,Barrio Santa Isabel.,Distrito 5,264.0,787.8787878787879,1.0,254362.07609756096,254362.07609756096
408,3,3,2,333.0,-17.784254,-63.173954,220000.0,Barrio Lindo,Distrito 11,382.0,660.6606606606607,0.8717277486910995,301114.7905882353,289717.63363636367
414,3,3,3,295.0,-17.735916,-63.165295,285000.0,Barrio Santa Isabel.,Distrito 5,295.0,966.1016949152543,1.0,254362.07609756096,254362.07609756096
428,4,5,2,300.0,-17.778751,-63.159996,215000.0,Barrio Chino,Distrito 2,330.0,716.6666666666666,0.9090909090909091,262300.65133333334,262300.65133333334
429,2,1,3,299.0,-17.757328,-63.192688,408000.0,Barrio el Manchon,Distrito Municipal 1,299.0,1364.5484949832776,1.0,326457.26420000003,348191.09192307695
441,4,3,4,300.0,-17.744514,-63.160988,180000.0,Barrio Santa Isabel.,Distrito 5,300.0,600.0,1.0,254362.07609756096,254362.07609756096
451,4,4,2,215.0,-17.779903,-63.213646,230000.0,Barrio Irma Suarez,Distrito Municipal 1,243.0,1069.7674418604652,0.8847736625514403,326457.26420000003,322922.41375
457,6,6,6,528.0,-17.743067,-63.156731,490000.0,Barrio Santa Isabel.,Distrito 5,528.0,928.030303030303,1.0,254362.07609756096,254362.07609756096
459,3,3,2,220.0,-17.747295,-63.182156,265000.0,Barrio el Manchon,Distrito Municipal 1,205.0,1204.5454545454545,1.0731707317073171,326457.26420000003,348191.09192307695
461,3,4,3,275.0,-17.741043,-63.16864,209000.0,Barrio Santa Isabel.,Distrito 5,275.0,760.0,1.0,254362.07609756096,254362.07609756096
463,5,3,0,200.0,-17.74748,-63.192799,180000.0,Barrio el Manchon,Distrito Municipal 1,310.0,900.0,0.6451612903225806,326457.26420000003,348191.09192307695
464,3,4,2,245.0,-17.818178,-63.220963,375000.0,Barrio el periodista,Distrito 10,860.0,1530.6122448979593,0.28488372093023256,206384.339375,213400.65714285715
465,3,2,2,220.0,-17.723932,-63.170242,225000.0,Barrio Santa Isabel.,Distrito 5,220.0,1022.7272727272727,1.0,254362.07609756096,254362.07609756096
466,3,2,2,212.0,-17.684656,-63.163448,99900.0,Barrio Santa Isabel.,Distrito 5,212.0,471.22641509433964,1.0,254362.07609756096,254362.07609756096
470,4,3,2,316.0,-17.772036,-63.159882,179000.0,Barrio Chino,Distrito 2,221.0,566.4556962025316,1.4298642533936652,262300.65133333334,262300.65133333334
471,4,2,2,257.0,-17.773285,-63.168423,190000.0,Barrio Lindo,Distrito 11,507.0,739.2996108949417,0.5069033530571992,301114.7905882353,289717.63363636367
478,5,7,2,353.0,-17.754511,-63.163982,315000.0,Barrio Chino,Distrito 2,353.0,892.3512747875354,1.0,262300.65133333334,262300.65133333334
480,3,4,2,251.0,-17.753075,-63.186893,160000.0,Barrio el Manchon,Distrito Municipal 1,251.0,637.4501992031873,1.0,326457.26420000003,348191.09192307695
483,3,3,2,224.0,-17.701748,-63.189625,205000.0,Barrio Santa Isabel.,Distrito 5,356.0,915.1785714285714,0.6292134831460674,254362.07609756096,254362.07609756096
486,4,3,4,400.0,-17.740257,-63.153835,265000.0,Barrio Santa Isabel.,Distrito 5,400.0,662.5,1.0,254362.07609756096,254362.07609756096
487,5,5,2,239.0,-17.75423,-63.180176,235000.0,Barrio el Manchon,Distrito Municipal 1,411.0,983.2635983263598,0.5815085158150851,326457.26420000003,348191.09192307695
491,4,5,3,282.0,-17.755138,-63.196175,430000.0,Barrio el Manchon,Distrito Municipal 1,367.0,1524.822695035461,0.7683923705722071,326457.26420000003,348191.09192307695
495,3,4,2,250.0,-17.8064,-63.211376,179000.0,BARRIO URBARI,Distrito Municipal 4Â ,210.0,716.0,1.1904761904761905,302332.25692307693,320495.3111764706
503,5,5,1,389.0,-17.793493,-63.137051,150000.0,Barrio 5 de Noviembre,Distrito 7,450.0,385.60411311053986,0.8644444444444445,132567.88874999998,147648.46833333335
506,4,5,2,350.0,-17.731316,-63.171989,370000.0,Barrio Santa Isabel.,Distrito 5,350.0,1057.142857142857,1.0,254362.07609756096,254362.07609756096
511,4,3,2,235.0,-17.800552,-63.154495,175000.0,Barrio Los Penocos,Distrito Municipal 3,350.0,744.6808510638298,0.6714285714285714,242325.77823529413,180600.0
513,3,4,3,359.0,-17.753771,-63.193829,310000.0,Barrio el Manchon,Distrito Municipal 1,359.0,863.5097493036212,1.0,326457.26420000003,348191.09192307695
514,3,2,2,397.0,-17.687424,-63.15276,96000.0,Barrio Santa Isabel.,Distrito 5,397.0,241.81360201511336,1.0,254362.07609756096,254362.07609756096
518,4,5,0,367.0,-17.787268,-63.183064,250000.0,Barrio Fé y Alegrí­a,Distrito 11,367.0,681.1989100817439,1.0,301114.7905882353,261130.2683333333
520,3,3,2,220.0,-17.706532,-63.189411,180000.0,Barrio Santa Isabel.,Distrito 5,220.0,818.1818181818181,1.0,254362.07609756096,254362.07609756096
522,3,4,2,390.0,-17.689837,-63.161308,248000.0,Barrio Santa Isabel.,Distrito 5,390.0,635.8974358974359,1.0,254362.07609756096,254362.07609756096
523,8,6,0,444.0,-17.759283,-63.182545,270000.0,BARRIO EQUIPETROL,Distrito Municipal 1,444.0,608.1081081081081,1.0,326457.26420000003,335141.1233333333
525,4,5,2,416.0,-17.766148,-63.1842,365000.0,BARRIO EQUIPETROL,Distrito Municipal 1,340.0,877.4038461538462,1.223529411764706,326457.26420000003,335141.1233333333
