,characteristics_bedrooms,characteristics_bathrooms,characteristics_garages,characteristics_area,location_lat,location_lng,price,neighborhood_name,district_name,extras_Terreno
207,4,6,2,350.0,-17.761953,-63.222263,240000.0,Desconocido,Desconocido,534.0
210,3,4,3,452.0,-17.79253,-63.16906,198000.0,Barrio Lindo,Distrito 11,400.0
213,4,5,4,300.0,-17.71513,-63.159481,375000.0,Barrio Santa Isabel.,Distrito 5,464.0
217,4,5,4,309.0,-17.733339,-63.250179,249000.0,Desconocido,Desconocido,721.0
220,4,3,2,314.0,-17.762789,-63.236504,268000.0,Desconocido,Desconocido,450.0
222,6,3,2,290.0,-17.786379,-63.202091,280000.0,Barrio Santa Rosa,Distrito Municipal 1,330.0
223,3,3,3,421.0,-17.708723,-63.168297,170000.0,Barrio Santa Isabel.,Distrito 5,421.0
224,4,2,0,202.0,-17.784061,-63.172977,249000.0,Barrio Lindo,Distrito 11,307.0
226,3,4,2,234.0,-17.722637,-63.167675,320000.0,Barrio Santa Isabel.,Distrito 5,325.0
227,3,4,2,282.0,-17.799746,-63.197662,350000.0,BARRIO URBARI,Distrito Municipal 4Â ,288.0
230,3,4,3,290.0,-17.761763,-63.232803,135000.0,Desconocido,Desconocido,290.0
233,4,4,2,260.0,-17.77277,-63.201511,360000.0,BARRIO EQUIPETROL,Distrito Municipal 1,208.0
235,3,3,2,304.38,-17.722162,-63.152637,110000.0,Barrio Santa Isabel.,Distrito 5,240.0
237,5,5,4,624.0,-17.817238,-63.215042,470000.0,Barrio California,Distrito 10,622.0
242,3,3,2,208.0,-17.770006,-63.102448,100000.0,Barrio las Pampita,Distrito 6,489.0
243,5,5,5,440.0,-17.757824,-63.218369,350000.0,Desconocido,Desconocido,400.0
244,8,5,2,476.0,-17.785675,-63.173374,528000.0,Barrio Lindo,Distrito 11,392.0
245,4,4,3,270.0,-17.798571,-63.220657,244000.0,Barrio Irma Suarez,Distrito Municipal 1,315.0
247,4,6,3,337.0,-17.716354,-63.149437,265000.0,Barrio Santa Isabel.,Distrito 5,248.0
250,5,6,2,413.0,-17.755512,-63.242619,328000.0,Desconocido,Desconocido,765.0
253,5,3,0,268.0,-17.784372,-63.175274,198000.0,Barrio Lindo,Distrito 11,220.0
254,4,6,2,473.0,-17.748318,-63.175312,585000.0,Barrio el Manchon,Distrito Municipal 1,486.0
255,3,3,2,210.0,-17.689646,-63.147957,135000.0,Barrio Santa Isabel.,Distrito 5,206.0
256,3,2,2,287.0,-17.753567,-63.227386,210000.0,Desconocido,Desconocido,224.0
257,3,3,2,205.0,-17.707022,-63.163662,138000.0,Barrio Santa Isabel.,Distrito 5,360.0
258,4,4,2,204.0,-17.7138,-63.172226,240000.0,Barrio Santa Isabel.,Distrito 5,204.0
260,5,5,2,398.0,-17.710201,-63.16922,170000.0,Barrio Santa Isabel.,Distrito 5,315.0
262,4,5,0,450.0,-17.745213,-63.216747,520000.0,Desconocido,Desconocido,765.0
264,4,5,3,410.0,-17.703669,-63.152931,355000.0,Barrio Santa Isabel.,Distrito 5,450.0
265,3,4,2,300.0,-17.716089,-63.168228,239500.0,Barrio Santa Isabel.,Distrito 5,300.0
266,4,4,2,288.0,-17.735065,-63.165272,280000.0,Barrio Santa Isabel.,Distrito 5,377.0
275,5,3,2,267.0,-17.805962,-63.214603,248000.0,Desconocido,Desconocido,331.0
277,4,3,2,250.0,-17.755768,-63.222618,181000.0,Desconocido,Desconocido,280.0
278,6,6,2,467.0,-17.776964,-63.167072,360000.0,Barrio Lindo,Distrito 11,838.0
283,4,4,2,323.0,-17.714401,-63.165092,265000.0,Barrio Santa Isabel.,Distrito 5,456.0
287,2,4,0,200.0,-17.603506,-63.173744,110000.0,Desconocido,Desconocido,300.0
288,3,3,3,303.0,-17.740461,-63.16304,390000.0,Barrio Santa Isabel.,Distrito 5,359.0
289,3,3,2,222.0,-17.722771,-63.167503,325000.0,Barrio Santa Isabel.,Distrito 5,205.0
291,4,6,4,511.0,-17.754707,-63.221268,280000.0,Desconocido,Desconocido,511.0
292,4,6,4,315.0,-17.758512,-63.236057,348000.0,Desconocido,Desconocido,507.0
294,5,6,3,400.0,-17.817247,-63.210716,255000.0,Barrio Flamingo,Distrito 10,556.0
295,3,3,2,255.0,-17.768335,-63.204365,240000.0,BARRIO EQUIPETROL,Distrito Municipal 1,255.0
297,3,5,2,251.0,-17.788916,-63.22168,269000.0,Desconocido,Desconocido,316.0
299,4,6,3,457.0,-17.761988,-63.177395,360000.0,Barrio Chino,Distrito 2,762.0
300,4,6,3,340.0,-17.760641,-63.232998,180000.0,Desconocido,Desconocido,340.0
309,4,6,3,479.0,-17.803791,-63.169197,498000.0,Barrio Polanco,Distrito Municipal 3,537.0
311,5,8,4,340.0,-17.757812,-63.236794,240000.0,Desconocido,Desconocido,533.0
317,3,3,2,256.0,-17.679096,-63.144436,125000.0,Desconocido,Desconocido,256.0
319,8,3,2,325.0,-17.737192,-63.161045,350000.0,Barrio Santa Isabel.,Distrito 5,250.0
320,3,4,1,208.0,-17.72102,-63.181274,125000.0,Barrio Santa Isabel.,Distrito 5,208.0
321,4,4,3,265.0,-17.700665,-63.163105,279600.0,Barrio Santa Isabel.,Distrito 5,225.0
324,4,5,2,409.0,-17.762482,-63.19981,550000.0,Barrio el Manchon,Distrito Municipal 1,562.0
326,1,2,0,531.0,-17.746132,-63.188206,280000.0,Barrio el Manchon,Distrito Municipal 1,363.0
327,4,4,3,545.0,-17.760603,-63.237427,425000.0,Desconocido,Desconocido,545.0
328,3,5,2,273.0,-17.804737,-63.156387,180000.0,Barrio Polanco,Distrito Municipal 3,273.0
329,3,2,2,202.0,-17.769354,-63.152794,150000.0,Barrio Chino,Distrito 2,202.0
331,3,3,2,220.0,-17.707268,-63.188038,180000.0,Barrio Santa Isabel.,Distrito 5,220.0
333,3,3,4,215.0,-17.746487,-63.143932,138000.0,Desconocido,Desconocido,215.0
335,4,6,5,406.0,-17.758312,-63.235966,410000.0,Desconocido,Desconocido,406.0
337,3,3,2,234.0,-17.703529,-63.184319,179000.0,Barrio Santa Isabel.,Distrito 5,360.0
338,4,4,4,285.0,-17.75543,-63.238346,249000.0,Desconocido,Desconocido,285.0
339,3,4,6,430.0,-17.749781,-63.226364,595000.0,Desconocido,Desconocido,430.0
341,3,4,2,220.0,-17.749388,-63.234177,165000.0,Desconocido,Desconocido,230.0
348,6,5,2,303.0,-17.725704,-63.152985,185000.0,Barrio Santa Isabel.,Distrito 5,422.0
350,4,4,6,285.0,-17.755165,-63.238091,249000.0,Desconocido,Desconocido,285.0
351,4,4,2,357.0,-17.731428,-63.081486,78000.0,Barrio San Jorge,Distrito 6,438.0
354,3,2,1,251.0,-17.781723,-63.163685,190000.0,Barrio Chino,Distrito 2,251.0
357,4,5,3,220.0,-17.697117,-63.180988,135000.0,Barrio Santa Isabel.,Distrito 5,220.0
358,4,7,4,422.0,-17.769558,-63.225513,448000.0,Desconocido,Desconocido,422.0
360,4,2,0,451.0,-17.77976,-63.173794,400000.0,Barrio Lindo,Distrito 11,504.0
361,3,5,4,438.0,-17.756516,-63.246437,260000.0,Desconocido,Desconocido,438.0
362,4,6,4,500.0,-17.760353,-63.232479,490000.0,Desconocido,Desconocido,500.0
364,3,4,2,248.0,-17.757332,-63.175961,198500.0,Barrio Chino,Distrito 2,248.0
