,characteristics_bedrooms,characteristics_bathrooms,characteristics_garages,characteristics_area,location_lat,location_lng,price,neighborhood_name,district_name,extras_Terreno,price_per_m2
577,4,3,4,360.0,-17.744518,-63.160744,180000.0,Barrio Santa Isabel.,Distrito 5,360.0,500.0
580,4,5,4,398.0,-17.689919,-63.161308,285000.0,Barrio Santa Isabel.,Distrito 5,310.0,716.0804020100503
581,6,5,4,318.0,-17.776371,-63.133148,190000.0,Barrio Guaracachi,Distrito 6,371.0,597.4842767295597
582,4,4,1,340.0,-17.824192,-63.216427,165000.0,Barrio California,Distrito 10,337.0,485.29411764705884
584,3,4,3,250.0,-17.768953,-63.111053,120000.0,Barrio las Pampita,Distrito 6,216.0,480.0
585,3,3,2,150.0,-17.702768,-63.173759,115000.0,Barrio Santa Isabel.,Distrito 5,150.0,766.6666666666666
587,3,3,2,255.0,-17.799177,-63.195206,254000.0,BARRIO URBARI,Distrito Municipal 4Â ,283.0,996.0784313725491
588,4,4,3,324.0,-17.752773,-63.173191,335000.0,Barrio Chino,Distrito 2,324.0,1033.9506172839506
589,5,3,2,243.0,-17.792938,-63.197224,270000.0,BARRIO URBARI,Distrito Municipal 4Â ,385.0,1111.111111111111
590,2,2,2,125.0,-17.718571,-63.17712,98000.0,Barrio Santa Isabel.,Distrito 5,112.0,784.0
592,5,2,6,507.0,-17.792755,-63.165798,680000.0,Barrio Los Penocos,Distrito Municipal 3,720.0,1341.222879684418
593,3,4,2,205.0,-17.78871,-63.089626,98000.0,Barrio El Condado,Distrito 7,205.0,478.0487804878049
598,3,2,2,160.0,-17.684412,-63.178467,95000.0,Barrio Santa Isabel.,Distrito 5,160.0,593.75
600,3,3,2,128.0,-17.710426,-63.128899,115000.0,Barrio Santa Isabel.,Distrito 5,128.0,898.4375
601,5,4,2,280.0,-17.726986,-63.144379,125000.0,Barrio Santa Isabel.,Distrito 5,205.0,446.42857142857144
602,7,2,4,190.0,-17.73671,-63.142635,145000.0,Barrio Santa Isabel.,Distrito 5,190.0,763.1578947368421
603,3,3,2,160.0,-17.697094,-63.182144,124800.0,Barrio Santa Isabel.,Distrito 5,160.0,780.0
607,4,4,2,190.0,-17.696585,-63.181324,124000.0,Barrio Santa Isabel.,Distrito 5,190.0,652.6315789473684
608,7,2,2,300.0,-17.752495,-63.125748,85000.0,Barrio las Pampita,Distrito 6,200.0,283.3333333333333
611,4,5,2,156.0,-17.703465,-63.178596,108700.0,Barrio Santa Isabel.,Distrito 5,156.0,696.7948717948718
612,3,3,2,150.0,-17.717344,-63.152847,117000.0,Barrio Santa Isabel.,Distrito 5,150.0,780.0
613,4,4,2,232.0,-17.769184,-63.101944,112000.0,Barrio las Pampita,Distrito 6,232.0,482.7586206896552
615,3,3,2,165.0,-17.791046,-63.090569,114800.0,Barrio El Condado,Distrito 7,225.0,695.7575757575758
