,characteristics_bedrooms,characteristics_bathrooms,characteristics_garages,characteristics_area,location_lat,location_lng,price,neighborhood_name,district_name,extras_Terreno,price_per_m2,rooms_per_area
1130,2,1,0,299.53,-17.757253,-63.192691,408000.0,Barrio el Manchon,Distrito Municipal 1,500.0,1362.13400994892,149765.0
1131,6,2,0,191.0,-17.793213,-63.192293,450000.0,Barrio FÃ© y AlegrÃ­a,Distrito 11,203.0,2356.020942408377,38773.0
1132,4,7,6,543.0,-17.802483,-63.168846,450000.0,Barrio Polanco,Distrito Municipal 3,507.0,828.7292817679559,275301.0
1133,3,2,0,244.0,-17.747113,-63.151903,460000.0,Barrio Santa Isabel.,Distrito 5,979.21,1885.2459016393443,238927.24000000002
1134,3,5,0,400.0,-17.74468108,-63.16127114,431034.48,Barrio Santa Isabel.,Distrito 5,480.0,1077.5862,192000.0
1135,5,4,3,200.0,-17.782158,-63.195076,420000.0,Barrio Santa Rosa,Distrito Municipal 1,406.0,2100.0,81200.0
1137,6,2,0,200.0,-17.73670033,-63.1716551,402298.85,Barrio Santa Isabel.,Distrito 5,708.0,2011.49425,141600.0
1138,5,5,0,313.0,-17.77296,-63.16355,400862.07,Barrio Chino,Distrito 2,489.0,1280.7094888178915,153057.0
1140,4,2,0,451.0,-17.77978296,-63.17378461,399281.61,Barrio Lindo,Distrito 11,504.0,885.3250776053214,227304.0
1141,6,3,2,493.0,-17.77069524,-63.19087132,397270.11,BARRIO EQUIPETROL,Distrito Municipal 1,414.2,805.821724137931,204200.6
1142,4,3,4,406.0,-17.733875,-63.161976,390000.0,Barrio Santa Isabel.,Distrito 5,480.0,960.5911330049261,194880.0
1144,4,5,0,441.0,-17.774235,-63.190825,375000.0,Barrio Panamericano,Distrito 11,364.0,850.3401360544218,160524.0
1145,5,5,0,540.0,-17.80066916,-63.17209596,371264.37,Barrio Polanco,Distrito Municipal 3,601.0,687.5266111111112,324540.0
1146,4,3,0,299.25,-17.745653,-63.164005,370000.0,Barrio Santa Isabel.,Distrito 5,360.0,1236.4243943191311,107730.0
1147,4,4,0,304.9,-17.788724,-63.215103,366379.31,Barrio Irma Suarez,Distrito Municipal 1,557.16,1201.6376188914398,169878.08399999997
1148,4,3,0,386.09,-17.792352,-63.195173,365524.43,BARRIO URBARI,Distrito Municipal 4Â ,586.95,946.7337408376286,226615.5255
1149,6,6,0,467.0,-17.77721191,-63.16701069,362068.97,Barrio Lindo,Distrito 11,838.86,775.3082869379015,391747.62
1151,4,4,2,399.0,-17.784692,-63.166902,344827.59,Barrio Lindo,Distrito 11,222.0,864.2295488721805,88578.0
1152,3,2,0,245.0,-17.774884,-63.187094,333333.33,Barrio Panamericano,Distrito 11,319.0,1360.5442040816326,78155.0
1153,3,3,0,200.0,-17.788799,-63.176644,330000.0,Barrio Lindo,Distrito 11,668.0,1650.0,133600.0
1154,4,6,0,524.84,-17.791996,-63.168705,327075.0,Barrio Lindo,Distrito 11,384.0,623.1899245484337,201538.56
1155,3,6,0,327.0,-17.82072048,-63.17394912,326580.46,Barrio Guaracal,Distrito Municipal 4Â ,594.75,998.7170030581041,194483.25
1156,5,5,0,376.0,-17.797405,-63.205222,323275.86,BARRIO URBARI,Distrito Municipal 4Â ,366.8,859.7762234042552,137916.80000000002
1159,3,4,0,320.0,-17.743455,-63.14507,320000.0,Desconocido,Desconocido,378.0,1000.0,120960.0
1160,3,4,0,200.0,-17.816606,-63.181219,316810.34,BARRIO VICTORIA,Distrito Municipal 4Â ,478.71,1584.0517000000002,95742.0
1161,2,1,0,100.0,-17.612909,-63.169776,313200.0,Desconocido,Desconocido,473.0,3132.0,47300.0
1162,2,4,3,306.0,-17.76043969,-63.15187234,316091.95,Barrio Chino,Distrito 2,306.0,1032.98022875817,93636.0
1165,6,6,0,210.0,-17.76409,-63.167492,309000.0,Barrio Chino,Distrito 2,229.33,1471.4285714285713,48159.3
1166,8,5,0,498.0,-17.74755,-63.146025,307112.07,Desconocido,Desconocido,359.0,616.6909036144579,178782.0
1167,6,6,0,405.0,-17.724151,-63.166446,306752.87,Barrio Santa Isabel.,Distrito 5,390.0,757.4144938271605,157950.0
1168,4,3,0,392.0,-17.731004,-63.172586,305000.0,Barrio Santa Isabel.,Distrito 5,311.0,778.0612244897959,121912.0
1169,3,4,0,312.08,-17.742086,-63.160915,303448.28,Barrio Santa Isabel.,Distrito 5,336.38,972.3413227377597,104977.47039999999
1171,3,4,2,280.0,-17.81975,-63.188038,300287.36,BARRIO VICTORIA,Distrito Municipal 4Â ,240.0,1072.454857142857,67200.0
1172,7,2,0,240.0,-17.732347,-63.142076,300000.0,Barrio Santa Isabel.,Distrito 5,495.0,1250.0,118800.0
1175,6,6,3,578.0,-17.814579,-63.15317,295000.0,Barrio SoberanÃ­a Nacional,Distrito Municipal 3,418.0,510.38062283737025,241604.0
1176,6,5,0,300.0,-17.730149,-63.169127,280000.0,Barrio Santa Isabel.,Distrito 5,264.0,933.3333333333334,79200.0
1177,4,3,4,159.0,-17.79474425,-63.16278216,287356.32,Barrio Los Penocos,Distrito Municipal 3,360.0,1807.2724528301887,57240.0
1179,8,6,0,454.75,-17.786939,-63.179131,290000.0,Barrio Lindo,Distrito 11,411.06,637.7130291368884,186929.535
1180,4,4,0,266.0,-17.797384,-63.20567,290000.0,BARRIO URBARI,Distrito Municipal 4Â ,360.0,1090.2255639097743,95760.0
1181,5,6,0,397.0,-17.76825,-63.155232,295000.0,Barrio Chino,Distrito 2,330.0,743.0730478589421,131010.0
1182,4,3,0,218.0,-17.822168,-63.182013,280000.0,BARRIO VICTORIA,Distrito Municipal 4Â ,445.0,1284.4036697247707,97010.0
1183,6,4,0,337.0,-17.772847168595,-63.157569277094,281609.2,Barrio Chino,Distrito 2,346.0,835.6356083086054,116602.0
1184,5,4,0,200.0,-17.7794756,-63.1673298,280000.0,Barrio Lindo,Distrito 11,394.54,1400.0,78908.0
1185,5,4,0,477.66,-17.731685,-63.17191,280000.0,Barrio Santa Isabel.,Distrito 5,465.96,586.191014529163,222570.4536
1186,4,3,1,141.0,-17.76182674,-63.18763027,278017.24,BARRIO EQUIPETROL,Distrito Municipal 1,266.0,1971.7534751773048,37506.0
1189,5,3,2,471.34,-17.776775,-63.176151,266522.99,Barrio Lindo,Distrito 11,286.0,565.4580345398226,134803.24
1190,7,5,0,346.0,-17.83512,-63.189053,265000.0,Barrio Saguapac sur,Distrito 9Â ,543.97,765.8959537572255,188213.62
1191,4,4,0,323.0,-17.713042,-63.164971,265000.0,Barrio Santa Isabel.,Distrito 5,456.0,820.4334365325077,147288.0
1194,3,3,2,290.0,-17.771974,-63.151902,260000.0,Barrio Chino,Distrito 2,366.75,896.551724137931,106357.5
1195,5,3,0,437.0,-17.733925,-63.147089,260000.0,Barrio Santa Isabel.,Distrito 5,840.0,594.9656750572083,367080.0
1196,6,4,2,404.15,-17.746929,-63.155916,239000.0,Barrio Santa Isabel.,Distrito 5,432.0,591.3645923543239,174592.8
1197,4,6,0,272.0,-17.754082,-63.183757,230000.0,Barrio el Manchon,Distrito Municipal 1,228.81,845.5882352941177,62236.32
1198,4,4,2,300.0,-17.730853,-63.154682,258620.69,Barrio Santa Isabel.,Distrito 5,475.0,862.0689666666667,142500.0
1199,6,5,4,324.53,-17.813435,-63.207558,230000.0,Barrio Flamingo,Distrito 10,541.14,708.7172218284904,175616.16419999997
1200,3,2,0,230.0,-17.888198,-63.20103,230000.0,Desconocido,Desconocido,438.0,1000.0,100740.0
1201,4,4,5,300.0,-17.79880999,-63.18481926,235000.0,Barrio FÃ© y AlegrÃ­a,Distrito 11,308.7,783.3333333333334,92610.0
1202,3,4,3,245.0,-17.82652,-63.17934,230000.0,Barrio Transportista,Distrito 9Â ,531.0,938.7755102040817,130095.0
1203,6,5,0,249.0,-17.729322,-63.157434,230000.0,Barrio Santa Isabel.,Distrito 5,420.0,923.6947791164658,104580.0
1204,8,4,2,290.0,-17.750322,-63.193792,230000.0,Barrio el Manchon,Distrito Municipal 1,295.98,793.1034482758621,85834.20000000001
1205,3,3,0,430.0,-17.753903,-63.188662,230000.0,Barrio el Manchon,Distrito Municipal 1,427.75,534.8837209302326,183932.5
1206,8,4,0,360.0,-17.750526,-63.194131,255000.0,Barrio el Manchon,Distrito Municipal 1,295.98,708.3333333333334,106552.8
1208,8,4,2,437.08,-17.83982994,-63.23647865,251436.78,Desconocido,Desconocido,680.0,575.2648942985267,297214.39999999997
1209,3,3,0,430.0,-17.79691,-63.175528,251436.78,Barrio Lindo,Distrito 11,577.86,584.7366976744186,248479.80000000002
1210,5,5,0,280.0,-17.738747,-63.182545,253232.76,Barrio Santa Isabel.,Distrito 5,312.0,904.4027142857143,87360.0
1211,3,3,2,220.0,-17.739122,-63.17894,255000.0,Barrio Santa Isabel.,Distrito 5,240.0,1159.090909090909,52800.0
1212,6,3,0,258.0,-17.729608,-63.130971,250000.0,Desconocido,Desconocido,361.38,968.9922480620155,93236.04
