,characteristics_bedrooms,characteristics_bathrooms,characteristics_garages,characteristics_area,location_lat,location_lng,price,neighborhood_name,district_name,extras_Terreno,price_per_m2,rooms_per_area
307,5,4,4,660.0,-17.797558,-63.211723,250000.0,BARRIO URBARI,Distrito Municipal 4Â ,402.0,378.7878787878788,265320.0
308,3,3,2,161.0,-17.722761,-63.155682,155000.0,Barrio Santa Isabel.,Distrito 5,150.0,962.7329192546584,24150.0
309,4,6,3,479.0,-17.803791,-63.169197,498000.0,Barrio Polanco,Distrito Municipal 3,537.0,1039.6659707724425,257223.0
310,6,7,4,659.0,-17.770924,-63.162098,480000.0,Barrio Chino,Distrito 2,627.0,728.3763277693475,413193.0
311,5,8,4,340.0,-17.757812,-63.236794,240000.0,Desconocido,Desconocido,533.0,705.8823529411765,181220.0
312,4,2,2,122.0,-17.706579,-63.146736,85000.0,Barrio Santa Isabel.,Distrito 5,180.0,696.7213114754098,21960.0
313,3,2,2,222.0,-17.747396,-63.180855,160000.0,Barrio el Manchon,Distrito Municipal 1,167.0,720.7207207207207,37074.0
315,3,3,2,166.0,-17.703362,-63.153854,120000.0,Barrio Santa Isabel.,Distrito 5,310.0,722.8915662650602,51460.0
316,3,3,2,168.0,-17.717548,-63.148384,159000.0,Barrio Santa Isabel.,Distrito 5,261.0,946.4285714285714,43848.0
317,3,3,2,256.0,-17.679096,-63.144436,125000.0,Desconocido,Desconocido,256.0,488.28125,65536.0
318,3,2,2,115.0,-17.707949,-63.188038,99900.0,Barrio Santa Isabel.,Distrito 5,187.0,868.695652173913,21505.0
319,8,3,2,325.0,-17.737192,-63.161045,350000.0,Barrio Santa Isabel.,Distrito 5,250.0,1076.923076923077,81250.0
320,3,4,1,208.0,-17.72102,-63.181274,125000.0,Barrio Santa Isabel.,Distrito 5,208.0,600.9615384615385,43264.0
321,4,4,3,265.0,-17.700665,-63.163105,279600.0,Barrio Santa Isabel.,Distrito 5,225.0,1055.0943396226414,59625.0
323,3,2,2,120.0,-17.717978,-63.148041,97500.0,Barrio Santa Isabel.,Distrito 5,180.0,812.5,21600.0
324,4,5,2,409.0,-17.762482,-63.19981,550000.0,Barrio el Manchon,Distrito Municipal 1,562.0,1344.7432762836186,229858.0
325,3,3,2,189.0,-17.744076,-63.095726,89000.0,Barrio La Purisima,Distrito 6,183.0,470.8994708994709,34587.0
326,1,2,0,531.0,-17.746132,-63.188206,280000.0,Barrio el Manchon,Distrito Municipal 1,363.0,527.3069679849341,192753.0
327,4,4,3,545.0,-17.760603,-63.237427,425000.0,Desconocido,Desconocido,545.0,779.816513761468,297025.0
328,3,5,2,273.0,-17.804737,-63.156387,180000.0,Barrio Polanco,Distrito Municipal 3,273.0,659.3406593406594,74529.0
329,3,2,2,202.0,-17.769354,-63.152794,150000.0,Barrio Chino,Distrito 2,202.0,742.5742574257425,40804.0
330,4,3,2,190.0,-17.822878,-63.215405,119000.0,Barrio California,Distrito 10,190.0,626.3157894736842,36100.0
331,3,3,2,220.0,-17.707268,-63.188038,180000.0,Barrio Santa Isabel.,Distrito 5,220.0,818.1818181818181,48400.0
333,3,3,4,215.0,-17.746487,-63.143932,138000.0,Desconocido,Desconocido,215.0,641.8604651162791,46225.0
334,4,3,0,198.0,-17.673986,-63.192589,123000.0,Desconocido,Desconocido,300.0,621.2121212121212,59400.0
335,4,6,5,406.0,-17.758312,-63.235966,410000.0,Desconocido,Desconocido,406.0,1009.8522167487685,164836.0
336,3,3,2,165.0,-17.714125,-63.173145,137000.0,Barrio Santa Isabel.,Distrito 5,165.0,830.3030303030303,27225.0
337,3,3,2,234.0,-17.703529,-63.184319,179000.0,Barrio Santa Isabel.,Distrito 5,360.0,764.957264957265,84240.0
338,4,4,4,285.0,-17.75543,-63.238346,249000.0,Desconocido,Desconocido,285.0,873.6842105263158,81225.0
339,3,4,6,430.0,-17.749781,-63.226364,595000.0,Desconocido,Desconocido,430.0,1383.7209302325582,184900.0
341,3,4,2,220.0,-17.749388,-63.234177,165000.0,Desconocido,Desconocido,230.0,750.0,50600.0
342,4,4,2,250.0,-17.804924,-63.216663,136500.0,Desconocido,Desconocido,150.0,546.0,37500.0
343,3,2,3,135.0,-17.762043,-63.236622,129000.0,Desconocido,Desconocido,135.0,955.5555555555555,18225.0
344,2,2,1,142.0,-17.792213,-63.183609,120000.0,Barrio FÃ© y AlegrÃ­a,Distrito 11,178.0,845.0704225352113,25276.0
346,2,2,2,180.0,-17.719746,-63.142666,73500.0,Barrio Santa Isabel.,Distrito 5,180.0,408.3333333333333,32400.0
347,4,2,1,100.0,-17.772734,-63.165123,115000.0,Barrio Chino,Distrito 2,120.0,1150.0,12000.0
348,6,5,2,303.0,-17.725704,-63.152985,185000.0,Barrio Santa Isabel.,Distrito 5,422.0,610.5610561056105,127866.0
349,3,2,2,178.0,-17.710896,-63.16967,130000.0,Barrio Santa Isabel.,Distrito 5,178.0,730.3370786516854,31684.0
350,4,4,6,285.0,-17.755165,-63.238091,249000.0,Desconocido,Desconocido,285.0,873.6842105263158,81225.0
351,4,4,2,357.0,-17.731428,-63.081486,78000.0,Barrio San Jorge,Distrito 6,438.0,218.48739495798318,156366.0
352,3,3,3,193.0,-17.815374,-63.179394,179000.0,BARRIO VICTORIA,Distrito Municipal 4Â ,193.0,927.4611398963731,37249.0
354,3,2,1,251.0,-17.781723,-63.163685,190000.0,Barrio Chino,Distrito 2,251.0,756.9721115537849,63001.0
355,4,3,2,167.0,-17.779436,-63.212353,140000.0,Barrio Santa Rosa,Distrito Municipal 1,167.0,838.3233532934132,27889.0
357,4,5,3,220.0,-17.697117,-63.180988,135000.0,Barrio Santa Isabel.,Distrito 5,220.0,613.6363636363636,48400.0
358,4,7,4,422.0,-17.769558,-63.225513,448000.0,Desconocido,Desconocido,422.0,1061.6113744075828,178084.0
359,3,4,1,168.0,-17.708361,-63.168125,105000.0,Barrio Santa Isabel.,Distrito 5,168.0,625.0,28224.0
360,4,2,0,451.0,-17.77976,-63.173794,400000.0,Barrio Lindo,Distrito 11,504.0,886.9179600886918,227304.0
361,3,5,4,438.0,-17.756516,-63.246437,260000.0,Desconocido,Desconocido,438.0,593.6073059360731,191844.0
362,4,6,4,500.0,-17.760353,-63.232479,490000.0,Desconocido,Desconocido,500.0,980.0,250000.0
363,3,3,2,150.0,-17.702513,-63.17487,95000.0,Barrio Santa Isabel.,Distrito 5,150.0,633.3333333333334,22500.0
364,3,4,2,248.0,-17.757332,-63.175961,198500.0,Barrio Chino,Distrito 2,248.0,800.4032258064516,61504.0
366,3,3,2,165.0,-17.714966,-63.1735,132000.0,Barrio Santa Isabel.,Distrito 5,165.0,800.0,27225.0
367,5,4,2,220.0,-17.838638,-63.178757,190000.0,Barrio Transportista,Distrito 9Â ,290.0,863.6363636363636,63800.0
368,4,3,2,185.0,-17.720921,-63.179176,136000.0,Barrio Santa Isabel.,Distrito 5,185.0,735.1351351351351,34225.0
369,5,2,2,375.0,-17.794716,-63.185081,270000.0,Barrio FÃ© y AlegrÃ­a,Distrito 11,337.0,720.0,126375.0
371,4,3,2,205.0,-17.786362,-63.20911,172000.0,Barrio Santa Rosa,Distrito Municipal 1,205.0,839.0243902439024,42025.0
372,3,3,2,150.0,-17.807789,-63.226692,114000.0,Desconocido,Desconocido,300.0,760.0,45000.0
374,3,4,3,190.0,-17.699423,-63.180958,124000.0,Barrio Santa Isabel.,Distrito 5,190.0,652.6315789473684,36100.0
375,6,5,2,200.0,-17.710375,-63.166065,165000.0,Barrio Santa Isabel.,Distrito 5,150.0,825.0,30000.0
376,4,4,2,226.0,-17.794195,-63.199871,240000.0,BARRIO URBARI,Distrito Municipal 4Â ,375.0,1061.9469026548672,84750.0
377,5,3,2,229.0,-17.838684,-63.174095,140000.0,Barrio Transportista,Distrito 9Â ,375.0,611.353711790393,85875.0
378,5,7,4,555.0,-17.744907,-63.220516,680000.0,Desconocido,Desconocido,555.0,1225.2252252252251,308025.0
381,3,4,3,292.0,-17.73493,-63.165283,285000.0,Barrio Santa Isabel.,Distrito 5,292.0,976.027397260274,85264.0
382,3,2,0,217.0,-17.778902,-63.196796,165000.0,BARRIO EQUIPETROL,Distrito Municipal 1,217.0,760.36866359447,47089.0
383,4,3,4,350.0,-17.801174,-63.225903,570000.0,Barrio Irma Suarez,Distrito Municipal 1,650.0,1628.5714285714287,227500.0
384,4,5,2,205.0,-17.791201,-63.09045,117000.0,Barrio El Condado,Distrito 7,225.0,570.7317073170732,46125.0
385,4,6,4,500.0,-17.758728,-63.235909,435000.0,Desconocido,Desconocido,500.0,870.0,250000.0
386,7,2,1,431.0,-17.754492,-63.17173,200000.0,Barrio Chino,Distrito 2,258.0,464.0371229698376,111198.0
387,3,3,2,220.0,-17.708246,-63.190269,180000.0,Barrio Santa Isabel.,Distrito 5,220.0,818.1818181818181,48400.0
389,3,4,4,300.0,-17.751055,-63.163387,255000.0,Barrio Santa Isabel.,Distrito 5,300.0,850.0,90000.0
390,3,3,2,153.0,-17.724478,-63.182514,100000.0,Barrio Santa Isabel.,Distrito 5,153.0,653.59477124183,23409.0
391,3,2,1,120.0,-17.594629,-63.115906,53500.0,Desconocido,Desconocido,240.0,445.8333333333333,28800.0
392,4,4,3,208.0,-17.711599,-63.167698,144000.0,Barrio Santa Isabel.,Distrito 5,208.0,692.3076923076923,43264.0
393,4,5,4,550.0,-17.748116,-63.218678,1100000.0,Desconocido,Desconocido,550.0,2000.0,302500.0
394,3,3,2,176.0,-17.780607,-63.092175,122000.0,Barrio El Condado,Distrito 7,180.0,693.1818181818181,31680.0
395,4,5,3,240.0,-17.765076,-63.186111,229000.0,BARRIO EQUIPETROL,Distrito Municipal 1,240.0,954.1666666666666,57600.0
396,3,2,2,115.0,-17.68029,-63.180599,84900.0,Desconocido,Desconocido,115.0,738.2608695652174,13225.0
397,3,4,2,145.0,-17.713739,-63.169651,116000.0,Barrio Santa Isabel.,Distrito 5,243.0,800.0,35235.0
398,3,3,2,269.0,-17.755798,-63.169109,285900.0,Barrio Chino,Distrito 2,269.0,1062.825278810409,72361.0
399,3,5,4,355.0,-17.714525,-63.159184,420000.0,Barrio Santa Isabel.,Distrito 5,355.0,1183.0985915492959,126025.0
400,5,7,3,617.0,-17.71806,-63.163563,485000.0,Barrio Santa Isabel.,Distrito 5,617.0,786.061588330632,380689.0
401,4,4,3,464.0,-17.695002,-63.162632,475000.0,Barrio Santa Isabel.,Distrito 5,498.0,1023.7068965517242,231072.0
402,4,3,3,350.0,-17.754765,-63.193695,310000.0,Barrio el Manchon,Distrito Municipal 1,350.0,885.7142857142857,122500.0
404,4,4,2,399.0,-17.762768,-63.236439,358000.0,Desconocido,Desconocido,675.0,897.2431077694235,269325.0
405,3,3,3,562.0,-17.762972,-63.236523,250000.0,Desconocido,Desconocido,562.0,444.83985765124555,315844.0
406,4,4,2,264.0,-17.702583,-63.189747,208000.0,Barrio Santa Isabel.,Distrito 5,264.0,787.8787878787879,69696.0
408,3,3,2,333.0,-17.784254,-63.173954,220000.0,Barrio Lindo,Distrito 11,382.0,660.6606606606607,127206.0
409,3,3,1,150.0,-17.679937,-63.180149,88000.0,Desconocido,Desconocido,180.0,586.6666666666666,27000.0
412,4,6,4,550.0,-17.752254,-63.218765,649000.0,Desconocido,Desconocido,550.0,1180.0,302500.0
413,3,4,3,173.0,-17.766182,-63.158428,160000.0,Barrio Chino,Distrito 2,173.0,924.8554913294797,29929.0
414,3,3,3,295.0,-17.735916,-63.165295,285000.0,Barrio Santa Isabel.,Distrito 5,295.0,966.1016949152543,87025.0
416,3,4,4,524.0,-17.743582,-63.220173,580000.0,Desconocido,Desconocido,524.0,1106.8702290076335,274576.0
417,3,3,2,119.0,-17.681591,-63.148811,93000.0,Desconocido,Desconocido,119.0,781.5126050420168,14161.0
419,4,3,2,115.0,-17.67967,-63.144348,107000.0,Desconocido,Desconocido,115.0,930.4347826086956,13225.0
420,3,3,2,144.0,-17.681108,-63.145882,105000.0,Desconocido,Desconocido,144.0,729.1666666666666,20736.0
421,3,3,4,210.0,-17.761951,-63.236351,259000.0,Desconocido,Desconocido,210.0,1233.3333333333333,44100.0
422,4,4,3,340.0,-17.762829,-63.233604,390000.0,Desconocido,Desconocido,625.0,1147.0588235294117,212500.0
423,3,3,2,129.0,-17.706947,-63.154636,108000.0,Barrio Santa Isabel.,Distrito 5,129.0,837.2093023255813,16641.0
426,3,3,2,150.0,-17.868254,-63.183277,83000.0,Barrio Florida,Distrito 12,150.0,553.3333333333334,22500.0
428,4,5,2,300.0,-17.778751,-63.159996,215000.0,Barrio Chino,Distrito 2,330.0,716.6666666666666,99000.0
429,2,1,3,299.0,-17.757328,-63.192688,408000.0,Barrio el Manchon,Distrito Municipal 1,299.0,1364.5484949832776,89401.0
430,3,2,1,184.0,-17.822029,-63.177155,145000.0,BARRIO VICTORIA,Distrito Municipal 4Â ,184.0,788.0434782608696,33856.0
433,3,4,2,160.0,-17.703333,-63.175343,107000.0,Barrio Santa Isabel.,Distrito 5,160.0,668.75,25600.0
434,4,6,2,378.0,-17.764771,-63.240856,340000.0,Desconocido,Desconocido,378.0,899.4708994708994,142884.0
435,3,3,2,116.0,-17.72316,-63.181965,95000.0,Barrio Santa Isabel.,Distrito 5,116.0,818.9655172413793,13456.0
436,3,2,3,153.0,-17.783772,-63.140423,121000.0,Barrio Guaracachi,Distrito 6,357.0,790.8496732026143,54621.0
438,2,2,3,110.0,-17.561716,-63.196949,70000.0,Desconocido,Desconocido,419.0,636.3636363636364,46090.0
439,3,3,2,124.0,-17.838409,-63.242828,70017.0,Desconocido,Desconocido,124.0,564.6532258064516,15376.0
441,4,3,4,300.0,-17.744514,-63.160988,180000.0,Barrio Santa Isabel.,Distrito 5,300.0,600.0,90000.0
442,3,3,2,152.0,-17.710783,-63.13871,87000.0,Barrio Santa Isabel.,Distrito 5,152.0,572.3684210526316,23104.0
443,4,3,1,435.0,-17.847918,-63.26041,117000.0,Desconocido,Desconocido,435.0,268.9655172413793,189225.0
444,4,7,4,500.0,-17.758751,-63.236061,425000.0,Desconocido,Desconocido,500.0,850.0,250000.0
445,3,2,2,170.0,-17.845407,-63.2057,114000.0,Barrio Los Cumpas,Distrito 9Â ,316.0,670.5882352941177,53720.0
446,3,3,2,150.0,-17.714861,-63.166759,119000.0,Barrio Santa Isabel.,Distrito 5,150.0,793.3333333333334,22500.0
447,2,3,2,118.0,-17.693661,-63.168713,72000.0,Barrio Santa Isabel.,Distrito 5,118.0,610.1694915254237,13924.0
448,4,6,4,542.0,-17.751181,-63.217541,630000.0,Desconocido,Desconocido,542.0,1162.361623616236,293764.0
450,5,8,3,895.0,-17.791687,-63.16777,725407.0,Barrio Lindo,Distrito 11,895.0,810.5106145251397,801025.0
451,4,4,2,215.0,-17.779903,-63.213646,230000.0,Barrio Irma Suarez,Distrito Municipal 1,243.0,1069.7674418604652,52245.0
452,4,6,4,543.0,-17.751242,-63.218487,625000.0,Desconocido,Desconocido,543.0,1151.012891344383,294849.0
453,3,3,2,140.0,-17.657759,-63.166393,71900.0,Desconocido,Desconocido,140.0,513.5714285714286,19600.0
454,5,5,2,253.0,-17.761255,-63.222233,140000.0,Desconocido,Desconocido,253.0,553.3596837944664,64009.0
455,3,2,2,129.0,-17.687651,-63.159142,98000.0,Barrio Santa Isabel.,Distrito 5,129.0,759.6899224806201,16641.0
456,3,5,4,353.0,-17.769573,-63.225517,348000.0,Desconocido,Desconocido,353.0,985.8356940509915,124609.0
457,6,6,6,528.0,-17.743067,-63.156731,490000.0,Barrio Santa Isabel.,Distrito 5,528.0,928.030303030303,278784.0
458,3,4,2,165.0,-17.714155,-63.173126,132000.0,Barrio Santa Isabel.,Distrito 5,165.0,800.0,27225.0
459,3,3,2,220.0,-17.747295,-63.182156,265000.0,Barrio el Manchon,Distrito Municipal 1,205.0,1204.5454545454545,45100.0
460,4,4,2,300.0,-17.812267,-63.232441,410000.0,Desconocido,Desconocido,540.0,1366.6666666666667,162000.0
461,3,4,3,275.0,-17.741043,-63.16864,209000.0,Barrio Santa Isabel.,Distrito 5,275.0,760.0,75625.0
462,3,3,2,194.0,-17.764393,-63.096481,105000.0,Barrio La Purisima,Distrito 6,194.0,541.2371134020618,37636.0
463,5,3,0,200.0,-17.74748,-63.192799,180000.0,Barrio el Manchon,Distrito Municipal 1,310.0,900.0,62000.0
464,3,4,2,245.0,-17.818178,-63.220963,375000.0,Barrio el periodista,Distrito 10,860.0,1530.6122448979593,210700.0
465,3,2,2,220.0,-17.723932,-63.170242,225000.0,Barrio Santa Isabel.,Distrito 5,220.0,1022.7272727272727,48400.0
466,3,2,2,212.0,-17.684656,-63.163448,99900.0,Barrio Santa Isabel.,Distrito 5,212.0,471.22641509433964,44944.0
467,3,2,2,140.0,-17.687363,-63.140602,125000.0,Desconocido,Desconocido,241.0,892.8571428571429,33740.0
469,6,4,2,198.0,-17.786634,-63.125168,89500.0,Barrio El Condado,Distrito 7,198.0,452.020202020202,39204.0
470,4,3,2,316.0,-17.772036,-63.159882,179000.0,Barrio Chino,Distrito 2,221.0,566.4556962025316,69836.0
471,4,2,2,257.0,-17.773285,-63.168423,190000.0,Barrio Lindo,Distrito 11,507.0,739.2996108949417,130299.0
472,3,3,2,184.0,-17.789667,-63.209301,140000.0,Barrio Santa Rosa,Distrito Municipal 1,184.0,760.8695652173913,33856.0
473,3,3,2,120.0,-17.837357,-63.210049,84000.0,Barrio 27 de mayo,Distrito 10,120.0,700.0,14400.0
474,3,3,2,158.0,-17.706203,-63.153576,130000.0,Barrio Santa Isabel.,Distrito 5,250.0,822.7848101265823,39500.0
475,3,4,4,390.0,-17.74828,-63.216141,528000.0,Desconocido,Desconocido,390.0,1353.8461538461538,152100.0
476,3,3,2,123.0,-17.681477,-63.148865,108000.0,Desconocido,Desconocido,123.0,878.0487804878048,15129.0
477,3,2,2,100.0,-17.848034,-63.171185,78000.0,Barrio Militar Nuevo Amanecer,Distrito 12,300.0,780.0,30000.0
478,5,7,2,353.0,-17.754511,-63.163982,315000.0,Barrio Chino,Distrito 2,353.0,892.3512747875354,124609.0
479,3,2,3,130.0,-17.753878,-63.174423,185000.0,Barrio Chino,Distrito 2,130.0,1423.076923076923,16900.0
480,3,4,2,251.0,-17.753075,-63.186893,160000.0,Barrio el Manchon,Distrito Municipal 1,251.0,637.4501992031873,63001.0
481,4,3,3,190.0,-17.696701,-63.181049,135000.0,Barrio Santa Isabel.,Distrito 5,190.0,710.5263157894736,36100.0
482,3,3,2,190.0,-17.704248,-63.153343,183000.0,Barrio Santa Isabel.,Distrito 5,430.0,963.1578947368421,81700.0
483,3,3,2,224.0,-17.701748,-63.189625,205000.0,Barrio Santa Isabel.,Distrito 5,356.0,915.1785714285714,79744.0
485,3,3,2,121.0,-17.69507,-63.140621,130000.0,Barrio Santa Isabel.,Distrito 5,260.0,1074.3801652892562,31460.0
486,4,3,4,400.0,-17.740257,-63.153835,265000.0,Barrio Santa Isabel.,Distrito 5,400.0,662.5,160000.0
487,5,5,2,239.0,-17.75423,-63.180176,235000.0,Barrio el Manchon,Distrito Municipal 1,411.0,983.2635983263598,98229.0
488,4,4,4,693.0,-17.75202,-63.225666,720000.0,Desconocido,Desconocido,693.0,1038.9610389610389,480249.0
490,4,4,3,370.0,-17.77556,-63.250042,345000.0,Desconocido,Desconocido,370.0,932.4324324324324,136900.0
491,4,5,3,282.0,-17.755138,-63.196175,430000.0,Barrio el Manchon,Distrito Municipal 1,367.0,1524.822695035461,103494.0
492,4,3,2,257.22,-17.744633,-63.160942,160000.0,Barrio Santa Isabel.,Distrito 5,180.0,622.0356115387606,46299.600000000006
493,3,3,2,199.0,-17.687662,-63.168427,189000.0,Barrio Santa Isabel.,Distrito 5,294.0,949.748743718593,58506.0
494,7,8,5,929.0,-17.807835,-63.177868,870000.0,Barrio Aeronautico,Distrito Municipal 4Â ,972.0,936.4908503767492,902988.0
495,3,4,2,250.0,-17.8064,-63.211376,179000.0,BARRIO URBARI,Distrito Municipal 4Â ,210.0,716.0,52500.0
496,3,3,1,155.0,-17.730461,-63.159866,95000.0,Barrio Santa Isabel.,Distrito 5,155.0,612.9032258064516,24025.0
498,4,4,2,271.0,-17.76281,-63.224033,252000.0,Desconocido,Desconocido,271.0,929.8892988929889,73441.0
499,4,4,4,185.0,-17.699274,-63.18248,138000.0,Barrio Santa Isabel.,Distrito 5,185.0,745.9459459459459,34225.0
501,3,3,1,100.0,-17.857807,-63.248493,70900.0,Desconocido,Desconocido,157.0,709.0,15700.0
502,3,4,2,314.0,-17.762932,-63.236523,272000.0,Desconocido,Desconocido,314.0,866.2420382165606,98596.0
503,5,5,1,389.0,-17.793493,-63.137051,150000.0,Barrio 5 de Noviembre,Distrito 7,450.0,385.60411311053986,175050.0
504,4,4,2,186.0,-17.69644,-63.169998,117000.0,Barrio Santa Isabel.,Distrito 5,160.0,629.0322580645161,29760.0
505,3,2,2,182.0,-17.681313,-63.148842,125000.0,Desconocido,Desconocido,182.0,686.8131868131868,33124.0
506,4,5,2,350.0,-17.731316,-63.171989,370000.0,Barrio Santa Isabel.,Distrito 5,350.0,1057.142857142857,122500.0
507,4,5,4,552.0,-17.743843,-63.221718,700000.0,Desconocido,Desconocido,552.0,1268.1159420289855,304704.0
510,4,4,4,185.0,-17.69916,-63.182621,138000.0,Barrio Santa Isabel.,Distrito 5,185.0,745.9459459459459,34225.0
511,4,3,2,235.0,-17.800552,-63.154495,175000.0,Barrio Los Penocos,Distrito Municipal 3,350.0,744.6808510638298,82250.0
512,3,4,1,126.0,-17.730293,-63.173809,105000.0,Barrio Santa Isabel.,Distrito 5,126.0,833.3333333333334,15876.0
513,3,4,3,359.0,-17.753771,-63.193829,310000.0,Barrio el Manchon,Distrito Municipal 1,359.0,863.5097493036212,128881.0
514,3,2,2,397.0,-17.687424,-63.15276,96000.0,Barrio Santa Isabel.,Distrito 5,397.0,241.81360201511336,157609.0
515,4,3,1,165.0,-17.698477,-63.180527,92000.0,Barrio Santa Isabel.,Distrito 5,165.0,557.5757575757576,27225.0
516,4,4,2,350.0,-17.762604,-63.236588,338000.0,Desconocido,Desconocido,350.0,965.7142857142857,122500.0
517,3,4,3,188.0,-17.687599,-63.168919,107000.0,Barrio Santa Isabel.,Distrito 5,188.0,569.1489361702128,35344.0
518,4,5,0,367.0,-17.787268,-63.183064,250000.0,Barrio FÃ© y AlegrÃ­a,Distrito 11,367.0,681.1989100817439,134689.0
519,4,3,2,174.0,-17.744049,-63.234592,159000.0,Desconocido,Desconocido,174.0,913.7931034482758,30276.0
520,3,3,2,220.0,-17.706532,-63.189411,180000.0,Barrio Santa Isabel.,Distrito 5,220.0,818.1818181818181,48400.0
521,4,4,2,174.0,-17.750629,-63.221546,167000.0,Desconocido,Desconocido,174.0,959.7701149425287,30276.0
522,3,4,2,390.0,-17.689837,-63.161308,248000.0,Barrio Santa Isabel.,Distrito 5,390.0,635.8974358974359,152100.0
523,8,6,0,444.0,-17.759283,-63.182545,270000.0,BARRIO EQUIPETROL,Distrito Municipal 1,444.0,608.1081081081081,197136.0
524,3,3,2,120.0,-17.702679,-63.146343,88500.0,Barrio Santa Isabel.,Distrito 5,180.0,737.5,21600.0
525,4,5,2,416.0,-17.766148,-63.1842,365000.0,BARRIO EQUIPETROL,Distrito Municipal 1,340.0,877.4038461538462,141440.0
526,4,4,3,420.0,-17.751509,-63.228561,250000.0,Desconocido,Desconocido,600.0,595.2380952380952,252000.0
527,3,4,4,325.0,-17.769634,-63.225624,380000.0,Desconocido,Desconocido,325.0,1169.2307692307693,105625.0
528,4,4,4,336.0,-17.699215,-63.182598,138000.0,Barrio Santa Isabel.,Distrito 5,336.0,410.7142857142857,112896.0
529,6,3,1,205.0,-17.732681,-63.143497,143000.0,Barrio Santa Isabel.,Distrito 5,384.0,697.560975609756,78720.0
530,3,5,3,166.0,-17.848288,-63.168236,110000.0,Barrio Militar Nuevo Amanecer,Distrito 12,166.0,662.6506024096385,27556.0
531,3,2,2,162.0,-17.75802,-63.090305,76900.0,Barrio San Jorge,Distrito 6,300.0,474.69135802469134,48600.0
532,5,4,3,629.0,-17.796078,-63.200478,468000.0,BARRIO URBARI,Distrito Municipal 4Â ,629.0,744.0381558028616,395641.0
533,3,4,2,254.0,-17.738457,-63.182995,230000.0,Barrio Santa Isabel.,Distrito 5,254.0,905.511811023622,64516.0
534,4,4,2,200.0,-17.762932,-63.223709,185000.0,Desconocido,Desconocido,200.0,925.0,40000.0
535,4,4,2,194.0,-17.805639,-63.214069,155000.0,Desconocido,Desconocido,194.0,798.9690721649484,37636.0
536,3,4,1,170.0,-17.714151,-63.173153,142000.0,Barrio Santa Isabel.,Distrito 5,170.0,835.2941176470588,28900.0
538,4,3,2,112.0,-17.696152,-63.15443,105000.0,Barrio Santa Isabel.,Distrito 5,241.0,937.5,26992.0
539,7,6,1,453.0,-17.79793,-63.172752,320000.0,Barrio Lindo,Distrito 11,453.0,706.401766004415,205209.0
540,4,4,2,244.0,-17.694143,-63.169456,225000.0,Barrio Santa Isabel.,Distrito 5,244.0,922.1311475409836,59536.0
541,4,4,2,290.0,-17.788437,-63.218037,170000.0,Barrio Irma Suarez,Distrito Municipal 1,185.0,586.2068965517242,53650.0
542,6,4,3,272.0,-17.836212,-63.23468,100000.0,Barrio Madre India,Distrito 10,272.0,367.6470588235294,73984.0
543,4,4,2,402.0,-17.744967,-63.164261,490000.0,Barrio Santa Isabel.,Distrito 5,402.0,1218.9054726368158,161604.0
544,3,1,1,125.0,-17.855133,-63.10178,50000.0,Barrio LAB,Distrito 8,360.0,400.0,45000.0
545,6,5,4,300.0,-17.836784,-63.250477,100000.0,Desconocido,Desconocido,200.0,333.3333333333333,60000.0
546,3,4,3,295.0,-17.734774,-63.165241,285000.0,Barrio Santa Isabel.,Distrito 5,295.0,966.1016949152543,87025.0
549,3,4,4,285.0,-17.762564,-63.233948,240000.0,Desconocido,Desconocido,285.0,842.1052631578947,81225.0
550,7,6,0,360.0,-17.777576,-63.188751,220000.0,Barrio Panamericano,Distrito 11,272.0,611.1111111111111,97920.0
551,3,5,2,230.0,-17.687416,-63.140617,138500.0,Desconocido,Desconocido,230.0,602.1739130434783,52900.0
552,5,3,2,245.0,-17.792418,-63.151604,168000.0,Barrio Los Penocos,Distrito Municipal 3,432.0,685.7142857142857,105840.0
553,4,3,3,274.0,-17.783236,-63.169205,144500.0,Barrio Lindo,Distrito 11,274.0,527.3722627737226,75076.0
554,5,7,4,470.0,-17.733541,-63.192627,390000.0,Desconocido,Desconocido,470.0,829.7872340425532,220900.0
555,4,4,4,220.0,-17.831495,-63.230705,128000.0,Barrio los Olivos,Distrito 10,420.0,581.8181818181819,92400.0
557,3,3,2,195.0,-17.817238,-63.23613,165000.0,Desconocido,Desconocido,207.0,846.1538461538462,40365.0
558,4,3,4,185.0,-17.699265,-63.18111,138000.0,Barrio Santa Isabel.,Distrito 5,185.0,745.9459459459459,34225.0
560,4,4,3,276.0,-17.739143,-63.182106,245000.0,Barrio Santa Isabel.,Distrito 5,276.0,887.6811594202899,76176.0
561,4,3,2,171.0,-17.762482,-63.223606,195000.0,Desconocido,Desconocido,171.0,1140.3508771929824,29241.0
562,3,3,2,156.0,-17.68294,-63.153748,108000.0,Barrio Santa Isabel.,Distrito 5,156.0,692.3076923076923,24336.0
563,4,5,3,276.0,-17.746174,-63.164478,275000.0,Barrio Santa Isabel.,Distrito 5,276.0,996.3768115942029,76176.0
564,4,4,3,265.0,-17.657677,-63.166737,160000.0,Desconocido,Desconocido,265.0,603.7735849056604,70225.0
565,3,3,2,160.0,-17.720989,-63.152714,130000.0,Barrio Santa Isabel.,Distrito 5,160.0,812.5,25600.0
